frequency,1072.4718468476444,Max_Oxygen_LifeTime
0.275,0.0,0.8320106428086772
0.275,0.0,0.8289673586522995
0.275,8.159044338600914,0.8365105221819555
0.275,0.0,0.773445122916722
0.30000000000000004,0.0,0.7407217240849905
0.30000000000000004,25.19722742600536,0.867026873689901
0.30000000000000004,0.0,0.8479892845776956
0.30000000000000004,0.0,0.8758760872989872
0.30000000000000004,23.28927671439943,0.797632544766235
0.30000000000000004,0.0,0.7840962965634557
0.30000000000000004,93.36505547401605,0.8105519957228438
0.30000000000000004,62.69514230176022,0.77806321886658
0.30000000000000004,0.0,0.6703456165782044
0.30000000000000004,129.06746877742123,0.7814791732500574
0.30000000000000004,2.487881023488952,0.804430205528871
0.30000000000000004,22.675351486286413,0.8523502692667881
0.30000000000000004,75.4445351968479,0.8192687141174579
0.30000000000000004,124.27776790231698,0.7077329333746215
0.30000000000000004,0.0,0.7396000724320938
0.30000000000000004,90.97118829583395,0.8241658209092182
0.30000000000000004,85.87522388051372,0.8088869096929134
0.30000000000000004,0.0,0.7500953902929088
0.30000000000000004,0.0,0.8399572348441947
0.30000000000000004,76.06203069793534,0.7962337857581046
0.30000000000000004,0.0,0.8213576247342389
0.30000000000000004,0.0,0.7957711616736298
0.30000000000000004,0.0,0.8035843122847343
0.30000000000000004,50.74335865362183,0.7433503506397324
0.30000000000000004,51.1808487678939,0.7786844305942255
0.30000000000000004,0.0,0.8174794864497246
0.30000000000000004,0.0,0.8171196267616777
0.325,0.0,0.6904838691894314
0.325,0.0,0.7902560967884147
0.325,0.0,0.7698843571903901
0.325,38.93045994577398,0.8540364758011214
0.325,72.30581044227456,0.911080856110562
0.325,24.672238978436024,0.8393893428768292
0.325,0.0,0.853862127489083
0.325,58.66000889716072,0.7881536447098433
0.325,98.50539375081142,0.8422857745123126
0.325,0.0,0.8507270960130764
0.325,0.0,0.7855066817485893
0.325,0.0,0.7770964449164884
0.325,0.0,0.7981384129485255
0.325,60.81994574533388,0.786338007417429
0.325,0.0,0.8731201779845464
0.325,21.00832421547023,0.8598952948851466
0.325,86.58526468889012,0.7899872613901785
0.325,0.0,0.9136288311130605
0.325,0.0,0.8563762312848724
0.325,236.50403378485757,1.0
0.325,231.0004790042449,0.8517081958335102
0.325,148.75890726562682,0.8584751997628941
0.35000000000000003,0.0,0.8523549816245227
0.35000000000000003,0.0,0.7463067162827757
0.35000000000000003,1.5138321490318394,0.6192042971891081
0.35000000000000003,0.0,0.5540864987958815
0.35000000000000003,79.90589047669485,0.7302500020489329
0.35000000000000003,0.0,0.6804298684094228
0.35000000000000003,0.0,0.8338688810904584
0.35000000000000003,5.82769106706778,0.7947853517880402
0.35000000000000003,48.93924263639799,0.872504444314464
0.35000000000000003,0.0,0.8146116015808736
0.35000000000000003,0.0,0.8459107878036762
0.35000000000000003,76.25721781328895,0.8494062754673287
0.35000000000000003,0.0,0.794213019500791
0.35000000000000003,18.17065559248752,0.9166130334041646
0.35000000000000003,0.0,0.8443615931248561
0.35000000000000003,0.0,0.5672028010280062
0.35000000000000003,26.775585977516386,0.5053471891170971
0.35000000000000003,112.70414107256292,0.582362436670972
0.35000000000000003,13.905334232686783,0.6153543183338227
0.35000000000000003,144.14232731681855,0.6006659417228113
0.35000000000000003,24.403434129908785,0.6004280235961192
0.35000000000000003,0.0,0.5690224900158267
0.375,0.0,0.45973694591830416
0.375,47.06624525296035,0.5843958185975948
0.375,0.0,0.5565096326650063
0.375,45.71107124628786,0.45284481909635943
0.375,0.0,0.5545697635220345
0.375,32.48714418743922,0.47333689335885143
0.375,122.75881304616772,0.6010148331222689
0.375,62.7441084460071,0.45973694591830416
0.375,93.8711162226768,0.5700746016935583
0.375,33.962649360232014,0.5375525654655853
0.375,0.0,0.5236081754723285
0.375,191.9691890996215,0.6013944016440795
0.375,0.0,0.5569846167761031
0.375,45.1580177020757,0.6178536516632939
0.375,120.26528871528342,0.6236118095029126
0.375,18.15977291345355,0.6901408819186805
0.375,0.0,0.7005711035186568
0.4,80.84162608789669,0.9743644205180163
0.4,0.0,0.7248558477265435
0.4,0.0,0.8291139271257634
0.4,2.795933411492762,0.8373113939085657
0.4,81.30479304321244,0.9038360119441948
